selection1_name,selection1_url,selection1_price,,,
Intel Core i9-12900K - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512900K,https://www.newegg.com/intel-core-i9-12900k-core-i9-12th-gen/p/N82E16819118339?quicklink=true,$419.48 (12 Offers),,,
Intel Core i5-12600K - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512600K,https://www.newegg.com/intel-core-i5-12600k-core-i5-12th-gen/p/N82E16819118347?quicklink=true,$192.82 (20 Offers),,,
Intel Core i9-13900K - Core i9 13th Gen Raptor Lake 24-Core (8P+16E) P-core Base Frequency: 3.0 GHz E-core Base Frequency: 2.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513900,https://www.newegg.com/intel-core-i9-13900k-core-i9-13th-gen/p/N82E16819118412?quicklink=true,$579.99 (19 Offers),,,
Intel Core i5-13600K - Core i5 13th Gen Raptor Lake 14-Core (6P+8E) 3.5 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513600K,https://www.newegg.com/intel-core-i5-13600k-core-i5-13th-gen/p/N82E16819118416,$298.92 (16 Offers),,,
Intel Core i7-13700K - Core i7 13th Gen Raptor Lake 16-Core (8P+8E) P-core Base Frequency: 3.4 GHz E-core Base Frequency: 2.5 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513700K,https://www.newegg.com/intel-core-i7-13700k-core-i7-13th-gen/p/N82E16819118414,$422.48 (15 Offers),,,
Intel Core i9-13900KS - Core i9 13th Gen Raptor Lake 24-Core (8P+16E) 3.2 GHz LGA 1700 - Intel UHD Graphics 770 - Unlocked Desktop Processor - BX8071513900KS,https://www.newegg.com/intel-core-i9-13900ks-core-i9-13th-gen/p/N82E16819118446,$729.99 (3 Offers),,,Z
Intel Core i7-12700K - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512700K,https://www.newegg.com/intel-core-i7-12700k-core-i7-12th-gen/p/N82E16819118343,$319.98 (15 Offers),,,
Intel Core i5-13600KF - Core i5 13th Gen Raptor Lake 14-Core (6P+8E) 3.5 GHz LGA 1700 125W None Integrated Graphics Desktop Processor - BX8071513600KF,https://www.newegg.com/intel-core-i5-13600kf-core-i5-13th-gen/p/N82E16819118417,$278.49 (15 Offers),,,
"Intel Core i5-13400F Desktop Processor 10 cores (6 P-cores + 4 E-cores) 20MB Cache, up to 4.6 GHz - Box",https://www.newegg.com/intel-core-i5-13400f-core-i5-13th-gen/p/N82E16819118431,$202.00 (6 Offers),,,
Intel Core i7-13700KF - Core i7 13th Gen Raptor Lake 16-Core (8P+8E) P-core Base Frequency: 3.4 GHz E-core Base Frequency: 2.5 GHz LGA 1700 125W None Integrated Graphics Desktop Processor - BX80715137,https://www.newegg.com/intel-core-i7-13700kf-core-i7-13th-gen/p/N82E16819118415,$365.89 (12 Offers),,,
Intel Core i5-12400F - Core i5 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 65W Desktop Processor - BX8071512400F,https://www.newegg.com/intel-core-i5-12400f-core-i5-12th-gen/p/N82E16819118360,$159.85 (23 Offers),,,
